Tweet,Sentiment,Subjectivity
"RT @BTS_translates: 190828 JH weverse reply

fan : no hahahahahahaha
they’re perfectly in sync even for this hahahahaha
exactly the same ev…",Positive,Objective
"@The_Newsmakers He never promoted terrorism, he has huge fan following across the religion coz he used to speak on… https://t.co/k3gaPZtRpd",Positive,Objective
@PatrickTimmons1 Fan boys overlook facts!,Positive,Objective
"RT @BTS_translates: 190829 V weverse reply

in pic : i love you more than yesterday and less than tomorrow 

fan : i put bring the soul quo…",Positive,Objective
"RT @TwoodTrolls: Na fnd okadu ( #Prabhas fan ) annadu
Rey repu #Saaho movie tickets nuvvu pettuko manollaki entha ayyindho antha Sep2nd na…",Positive,Objective
"RT @Mats0staM: @JKrilon Detta eviga tjatande om att man höjer straffen är bara dimridåer. Först ska man få fast fanskapen, sen ska en domst…",Positive,Subjective
"RT @NhunLe3: Trong lớp các bạn có ai là Fan Kpop không? Họ thuộc Fandom nào? Nói cho mình biết với ^^

Me: Lớp được 3 mống Fan Kpop 
🙄, 2 đ…",Positive,Objective
"RT @TwoodTrolls: Na fnd okadu ( #Prabhas fan ) annadu
Rey repu #Saaho movie tickets nuvvu pettuko manollaki entha ayyindho antha Sep2nd na…",Positive,Objective
@evertonamo That imps fan definitely has good taste,Positive,Subjective
"日本チャンピオンの石浦さんもハッキネンさんとチームメイトとはいえ、僕らと同じ１ファンとしてのお気持ち、激しく同意いたします。(≡^∇^≡)
動画は僕の10Hキャップを見て
｢Oh! Many signs　Haha｣と笑ってサインし… https://t.co/MZQbSJspOS",Positive,Objective
RT @twinkyystar: If you're a fan then you're a fan regardless of age. I dont get this trend in twitter clowning fans whether they're young…,Positive,Objective
私には彼女だけだ。彼女以外の女性など考えられない。よって浮気などするはずがない。確かに、私は今でも複数の異性と関係を持つのが効率的だと思ってはいる。だが、私はそれを望んではいない。何故なら彼女がいればそれで満足だからだ。私は何か間違っているか？,Positive,Objective
RT @AsandaDube5: #TbT to 2012 with the paid fan @mpexo and @niso 😂😂😂 https://t.co/z6sCDJZ7HR,Positive,Objective
"RT @ndnrnhrdt99: Im a big fan of hugs, hugging, and being hugged.",Positive,Objective
RT @TFC_Teams: I am Also Die Hard #Thala Fan - #abhirami ... https://t.co/KF4WLWEqp8,Negative,Subjective
